time,X,Y,Z,x,y,z,w,Vx,Vy,Vz,Wx,Wy,Wz,fx,fy,fz,tx,ty,tz
2024-01-09 17:51:13.775909,0.8019400234008963,-0.1799299027432524,0.3842744984045601,0.9451790452003479,-0.025573127487790514,0.31544878593046305,-0.08046511366527213,1.8977484672610956e-05,1.3194711279140845e-05,3.130854657751314e-05,-2.0292170537888652e-05,-8.389616011076452e-05,2.8143535681068454e-07,5.803516768077392,-0.5097478139502937,-6.137842191002754,-0.9314701903665027,-0.17952438545109298,-1.310890932235616
2024-01-09 17:51:13.788704,0.8019402603807231,-0.17992923713484082,0.3842754105848454,0.945178747177124,-0.025572908205509413,0.31544952425196915,-0.08046586377013612,1.8977484672610956e-05,1.3194711279140845e-05,3.130854657751314e-05,-2.0292170537888652e-05,-8.389616011076452e-05,2.8143535681068454e-07,5.8317464661232705,-0.5121136046367697,-6.16125577162993,-0.9352574774606226,-0.18373359445419504,-1.3135478116329389
2024-01-09 17:51:13.801198,0.8019402603807231,-0.17992923713484082,0.3842754105848454,0.945178747177124,-0.025572908205509413,0.31544952425196915,-0.08046586377013612,1.8977484672610956e-05,1.3194711279140845e-05,3.130854657751314e-05,-2.0292170537888652e-05,-8.389616011076452e-05,2.8143535681068454e-07,5.8317464661232705,-0.5121136046367697,-6.16125577162993,-0.9352574774606226,-0.18373359445419504,-1.3135478116329389
2024-01-09 17:51:13.814531,0.8019402603807231,-0.17992923713484082,0.3842754105848454,0.945178747177124,-0.025572908205509413,0.31544952425196915,-0.08046586377013612,1.8977484672610956e-05,1.3194711279140845e-05,3.130854657751314e-05,-2.0292170537888652e-05,-8.389616011076452e-05,2.8143535681068454e-07,5.790880124569899,-0.5580458864702726,-6.164132467713413,-0.9488666684238339,-0.1827947940631319,-1.309221410979762
2024-01-09 17:51:13.828175,0.8019402603807231,-0.17992923713484082,0.3842754105848454,0.945178747177124,-0.025572908205509413,0.31544952425196915,-0.08046586377013612,1.8977484672610956e-05,1.3194711279140845e-05,3.130854657751314e-05,-2.0292170537888652e-05,-8.389616011076452e-05,2.8143535681068454e-07,5.790880124569899,-0.5580458864702726,-6.164132467713413,-0.9488666684238339,-0.1827947940631319,-1.309221410979762
2024-01-09 17:51:13.841888,0.8019402603807231,-0.17992923713484082,0.3842754105848454,0.945178747177124,-0.025572908205509413,0.31544952425196915,-0.08046586377013612,1.8977484672610956e-05,1.3194711279140845e-05,3.130854657751314e-05,-2.0292170537888652e-05,-8.389616011076452e-05,2.8143535681068454e-07,5.790880124569899,-0.5580458864702726,-6.164132467713413,-0.9488666684238339,-0.1827947940631319,-1.309221410979762
2024-01-09 17:51:13.854999,0.8019395078830595,-0.17992974237966847,0.3842750243846749,0.9451798796653748,-0.02557309161582991,0.315446715568297,-0.08046318743654024,1.8977484672610956e-05,1.3194711279140845e-05,3.130854657751314e-05,-2.0292170537888652e-05,-8.389616011076452e-05,2.8143535681068454e-07,5.790880124569899,-0.5580458864702726,-6.164132467713413,-0.9488666684238339,-0.1827947940631319,-1.309221410979762
2024-01-09 17:51:13.867262,0.8019395078830595,-0.17992974237966847,0.3842750243846749,0.9451798796653748,-0.02557309161582991,0.315446715568297,-0.08046318743654024,1.8977484672610956e-05,1.3194711279140845e-05,3.130854657751314e-05,-2.0292170537888652e-05,-8.389616011076452e-05,2.8143535681068454e-07,5.924116179786733,-1.1930582074268894,-6.995203076348082,-1.1795852703130147,-0.1758646132291462,-1.3408882029127465
2024-01-09 17:51:13.879154,0.8019402340328339,-0.1799101348015998,0.38456673749552034,0.9451240301132202,-0.02555368594160335,0.3156122815849657,-0.08047639943625486,1.8977484672610956e-05,1.3194711279140845e-05,3.130854657751314e-05,-2.0292170537888652e-05,-8.389616011076452e-05,2.8143535681068454e-07,5.924116179786733,-1.1930582074268894,-6.995203076348082,-1.1795852703130147,-0.1758646132291462,-1.3408882029127465
2024-01-09 17:51:13.891315,0.801939611928237,-0.1798541212233934,0.3849781443214125,0.9450553059577942,-0.025527756993216636,0.31581805192969836,-0.08048453644608138,1.8977484672610956e-05,1.3194711279140845e-05,3.130854657751314e-05,-2.0292170537888652e-05,-8.389616011076452e-05,2.8143535681068454e-07,5.663778725896659,0.25657572213250074,-4.501867110722311,-0.47431853374487476,-0.09437472004510433,-1.3499814913587367
2024-01-09 17:51:13.903875,0.801939611928237,-0.1798541212233934,0.3849781443214125,0.9450553059577942,-0.025527756993216636,0.31581805192969836,-0.08048453644608138,1.8977484672610956e-05,1.3194711279140845e-05,3.130854657751314e-05,-2.0292170537888652e-05,-8.389616011076452e-05,2.8143535681068454e-07,5.663778725896659,0.25657572213250074,-4.501867110722311,-0.47431853374487476,-0.09437472004510433,-1.3499814913587367
2024-01-09 17:51:13.916159,0.8019347114958749,-0.17982552987906752,0.38529129027917813,0.9450051784515381,-0.0254748278719652,0.3159819712384688,-0.08044631208787076,1.8977484672610956e-05,1.3194711279140845e-05,3.130854657751314e-05,-2.0292170537888652e-05,-8.389616011076452e-05,2.8143535681068454e-07,6.414234873194283,0.7706682322349412,-3.927795864321581,-0.3560040822676096,-0.26135889999719153,-1.4273571086207275
2024-01-09 17:51:13.928102,0.8019136806567326,-0.1798166632674755,0.3855495007335021,0.9449701905250549,-0.025350924746913674,0.3161276138204034,-0.08032428337461443,-0.0012371081848405086,0.0005215653877660757,0.015188850254349899,-0.018278175258333473,-0.018299698483749495,0.007755588403910921,7.040593209916973,0.26145552775771225,-4.064250428894507,-0.5227177786236851,-0.39548636192908787,-1.486128889171062
2024-01-09 17:51:13.940269,0.8019136806567326,-0.1798166632674755,0.3855495007335021,0.9449701905250549,-0.025350924746913674,0.3161276138204034,-0.08032428337461443,-0.0012371081848405086,0.0005215653877660757,0.015188850254349899,-0.018278175258333473,-0.018299698483749495,0.007755588403910921,7.040593209916973,0.26145552775771225,-4.064250428894507,-0.5227177786236851,-0.39548636192908787,-1.486128889171062
2024-01-09 17:51:13.952763,0.8019079489671421,-0.17984282553865305,0.3856850331238995,0.9449535608291626,-0.025294520646927696,0.3162102984814285,-0.08021217969874099,-0.0012371081848405086,0.0005215653877660757,0.015188850254349899,-0.018278175258333473,-0.018299698483749495,0.007755588403910921,6.755455500309671,0.11681349052326888,-3.9902109728173025,-0.5437128349068356,-0.3387718083581981,-1.4444557378003484
2024-01-09 17:51:13.964937,0.8019195703710251,-0.17988568954968234,0.3857393843683908,0.944943904876709,-0.02531346277422451,0.31625086327326524,-0.08015987552027522,-0.0012371081848405086,0.0005215653877660757,0.015188850254349899,-0.018278175258333473,-0.018299698483749495,0.007755588403910921,5.979502062813871,-0.05019665041385634,-4.377480667962725,-0.5985875994243738,-0.1706305795464786,-1.352902979343853
2024-01-09 17:51:13.976917,0.8019195703710251,-0.17988568954968234,0.3857393843683908,0.944943904876709,-0.02531346277422451,0.31625086327326524,-0.08015987552027522,-0.0012371081848405086,0.0005215653877660757,0.015188850254349899,-0.018278175258333473,-0.018299698483749495,0.007755588403910921,4.9667829015657174,-0.5291399157124663,-5.251657820447433,-0.8050490881539062,0.03016689822064583,-1.2291745309957274
