time,X,Y,Z,x,y,z,w,Vx,Vy,Vz,Wx,Wy,Wz,fx,fy,fz,tx,ty,tz
2024-01-09 16:11:14.901964,0.8114934176761588,-0.18091301246856295,0.3841028545963743,0.9488430023193359,0.005695116192543411,0.31563554001074834,0.006219697219315037,1.749292666275437e-06,1.3896669485517302e-05,1.3688047995064066e-05,0.00012460923143306396,-4.534660625390799e-05,1.583232395860331e-05,10.377383868782053,3.5509685184014463,-4.248134568493588,-0.5027715045664815,-1.420413305805003,-1.7148532587728142
2024-01-09 16:11:14.914882,0.8114933411152042,-0.18091271387708574,0.38410312064903485,0.9488430023193359,0.005694794474063272,0.31563560371606825,0.006218637083233933,1.749292666275437e-06,1.3896669485517302e-05,1.3688047995064066e-05,0.00012460923143306396,-4.534660625390799e-05,1.583232395860331e-05,10.386027118975028,3.55167990721196,-4.2311014910140194,-0.4961157965310859,-1.4210967268376589,-1.7156249506148569
2024-01-09 16:11:14.926947,0.81149352605204,-0.1809127447119788,0.384103069871047,0.9488430023193359,0.005694671279854378,0.3156355987758435,0.006219082686991971,1.749292666275437e-06,1.3896669485517302e-05,1.3688047995064066e-05,0.00012460923143306396,-4.534660625390799e-05,1.583232395860331e-05,10.386027118975028,3.55167990721196,-4.2311014910140194,-0.4961157965310859,-1.4210967268376589,-1.7156249506148569
2024-01-09 16:11:14.939050,0.81149352605204,-0.1809127447119788,0.384103069871047,0.9488430023193359,0.005694671279854378,0.3156355987758435,0.006219082686991971,1.749292666275437e-06,1.3896669485517302e-05,1.3688047995064066e-05,0.00012460923143306396,-4.534660625390799e-05,1.583232395860331e-05,10.465192543985456,3.553205326702324,-4.249188026486542,-0.5063621990936976,-1.4392873714101322,-1.7214273182354327
2024-01-09 16:11:14.951466,0.8114935505687986,-0.1809125780488816,0.3841025430118176,0.9488431215286255,0.005694649900674697,0.31563533044105246,0.006218702533365749,1.749292666275437e-06,1.3896669485517302e-05,1.3688047995064066e-05,0.00012460923143306396,-4.534660625390799e-05,1.583232395860331e-05,10.408188784081345,3.51333816948285,-4.304552373203301,-0.5140606505278262,-1.422899966723232,-1.7148724998013434
2024-01-09 16:11:14.963566,0.8114936851800434,-0.18091255956335064,0.3841029727028367,0.9488430023193359,0.005694087135944734,0.31563566157135087,0.006218436330278273,1.749292666275437e-06,1.3896669485517302e-05,1.3688047995064066e-05,0.00012460923143306396,-4.534660625390799e-05,1.583232395860331e-05,10.391811733420113,3.529596692796039,-4.267199245923134,-0.5041562352841474,-1.4170611954930112,-1.7106073891723246
2024-01-09 16:11:14.976077,0.8114936769757278,-0.18091275249503735,0.3841027418889471,0.9488430619239807,0.005693962007417615,0.3156355148843598,0.006218610331585575,1.749292666275437e-06,1.3896669485517302e-05,1.3688047995064066e-05,0.00012460923143306396,-4.534660625390799e-05,1.583232395860331e-05,10.437685396900015,3.5535782453163045,-4.296770995136175,-0.5085922162120972,-1.4298419235974758,-1.716982275273345
2024-01-09 16:11:14.988583,0.8114940487155435,-0.18091278088014773,0.38410279999674757,0.9488428831100464,0.0056935050410281286,0.3156360426479151,0.006218792852797834,1.749292666275437e-06,1.3896669485517302e-05,1.3688047995064066e-05,0.00012460923143306396,-4.534660625390799e-05,1.583232395860331e-05,10.349299149356076,3.4996351635481506,-4.263634364801492,-0.515179865216926,-1.4102912146202995,-1.7076930338306364
2024-01-09 16:11:15.000553,0.8114941604184231,-0.1809126689877851,0.38410293638085563,0.9488428235054016,0.005693243078281107,0.31563626813594914,0.006218483247470678,7.446858640847153e-06,7.459490841688065e-06,9.092273870840254e-06,5.031531258072836e-05,-3.101765907693322e-05,-1.9879635358030514e-05,10.349299149356076,3.4996351635481506,-4.263634364801492,-0.515179865216926,-1.4102912146202995,-1.7076930338306364
2024-01-09 16:11:15.012559,0.8114941604184231,-0.1809126689877851,0.38410293638085563,0.9488428235054016,0.005693243078281107,0.31563626813594914,0.006218483247470678,7.446858640847153e-06,7.459490841688065e-06,9.092273870840254e-06,5.031531258072836e-05,-3.101765907693322e-05,-1.9879635358030514e-05,10.389033998646648,3.509253664922107,-4.281246850478857,-0.5142182439658011,-1.41604974354847,-1.7112772783456958
