timestamp,X,Y,Z,A,B,C,Fx,Fy,Fz,Tx,Ty,Tz,Vx,Vy,Vz,Wx,Wy,Wz,Kx,Ky,Kz,Rot_Kx,Rot_Ky,Rot_Kz,Cx,Cy,Cz,Rot_Cx,Rot_Cy,Rot_Cz
1677963752663.0,0.6401259471785854,-0.06309579305246543,0.4656731736759662,1.5806406725733755,0.6261252353414966,-3.1242916800953204,-1.4706788719784145,2.542851119228065,-25.768471168293978,0.8491457534065295,1.2862874838784772,-0.18013446140452632,0.002374032611673652,0.001325485342871163,0.0037175901321279386,-0.016791278848017448,-0.012924182103332085,-0.0032704978105088135,2000.0,2000.0,1000.0,200.0,200.0,200.0,0.7,0.7,0.7,0.7,0.7,0.7
1677963752681.0,0.6400921861867567,-0.06319166074387851,0.4656890810984911,1.5808375375756274,0.6260785076237925,-3.1247375673339355,-1.3148917543909129,1.8757881340106124,-25.580126057074494,0.7971108845819681,1.2391030601485076,-0.20287496243542696,0.002374032611673652,0.001325485342871163,0.0037175901321279386,-0.016791278848017448,-0.012924182103332085,-0.0032704978105088135,2000.0,2000.0,1000.0,200.0,200.0,200.0,0.7,0.7,0.7,0.7,0.7,0.7
1677963752734.0,0.6398558333373667,-0.06353489529742083,0.4655362002937124,1.5812532531687467,0.625402046751609,-3.126028542518993,-0.8550049340904474,1.4885493748740994,-25.47970259160051,0.7960938614072328,1.1892988160144822,-0.21621793773909564,0.002374032611673652,0.001325485342871163,0.0037175901321279386,-0.016791278848017448,-0.012924182103332085,-0.0032704978105088135,2000.0,2000.0,1000.0,200.0,200.0,200.0,0.7,0.7,0.7,0.7,0.7,0.7
1677963752790.0,0.6394916344829026,-0.06345340802686164,0.465296400768175,1.5810613327427774,0.6241906870169771,-3.1254250905782515,-0.14627726897472632,1.734717227392391,-25.08609543402367,0.877244632169303,1.1028532034778322,-0.22082264700577964,-0.0015824691485342031,0.0026822022097301675,-0.0038334023568405515,0.0047345185811540885,0.005671823716040916,-4.173422755582171e-06,2000.0,2000.0,1000.0,200.0,200.0,200.0,0.7,0.7,0.7,0.7,0.7,0.7
1677963752810.0,0.6394711367468396,-0.06338171541196315,0.4652319204178859,1.5809920317141284,0.6240977872233198,-3.125317076521707,0.022994954011438962,1.9123281186748453,-24.902960668958624,0.9044220371477021,1.0722619428308264,-0.22403727176451507,-0.0015824691485342031,0.0026822022097301675,-0.0038334023568405515,0.0047345185811540885,0.005671823716040916,-4.173422755582171e-06,2000.0,2000.0,1000.0,200.0,200.0,200.0,0.7,0.7,0.7,0.7,0.7,0.7
1677963752830.0,0.6394766216105916,-0.06325877170602964,0.4652041518488543,1.5808793709576427,0.6240863578522831,-3.1250433506754627,0.25648432465492005,2.3120186856660583,-24.55832930651608,0.9553486155787679,1.0152545359334937,-0.22973076809020934,-0.0015824691485342031,0.0026822022097301675,-0.0038334023568405515,0.0047345185811540885,0.005671823716040916,-4.173422755582171e-06,2000.0,2000.0,1000.0,200.0,200.0,200.0,0.7,0.7,0.7,0.7,0.7,0.7
1677963752850.0,0.639520826647378,-0.0630954127182701,0.46522639468081134,1.5807571725553862,0.624217779705611,-3.124624435417777,0.2886929995732841,2.7343466057497423,-24.22577610559484,1.0029370286771386,0.9720318951331446,-0.2335109356079014,-0.0015824691485342031,0.0026822022097301675,-0.0038334023568405515,0.0047345185811540885,0.005671823716040916,-4.173422755582171e-06,2000.0,2000.0,1000.0,200.0,200.0,200.0,0.7,0.7,0.7,0.7,0.7,0.7
1677963752870.0,0.6396152439034403,-0.06294870920119151,0.4652755883138904,1.5807044394557064,0.6245319891357677,-3.124335793657944,0.01309547847135285,2.9707611490584647,-23.97472602847163,1.0037916809744332,0.959816676323932,-0.23685939854045052,-0.0015824691485342031,0.0026822022097301675,-0.0038334023568405515,0.0047345185811540885,0.005671823716040916,-4.173422755582171e-06,2000.0,2000.0,1000.0,200.0,200.0,200.0,0.7,0.7,0.7,0.7,0.7,0.7
1677963752889.0,0.6397436304393883,-0.06289321883712753,0.46532275730844996,1.5808194124561412,0.6249889634350176,-3.124433711926911,-0.3428151165079368,2.9702030733790177,-23.906004486561788,0.9700912367275658,0.982571705252685,-0.23915399447004812,0.006442528147276033,0.0020584421800443776,0.0022345262799081727,-0.00398933243116785,-0.02304264979340901,-0.005736991269576206,2000.0,2000.0,1000.0,200.0,200.0,200.0,0.7,0.7,0.7,0.7,0.7,0.7
1677963752947.0,0.6399187784571307,-0.06282891847367685,0.46546732107235383,1.5810808467835447,0.6256090263050735,-3.1245971055299053,-0.8253738527143145,2.5456312938301577,-24.285354237483936,0.8871953502383529,1.083634253830518,-0.2275119559049993,0.006442528147276033,0.0020584421800443776,0.0022345262799081727,-0.00398933243116785,-0.02304264979340901,-0.005736991269576206,2000.0,2000.0,1000.0,200.0,200.0,200.0,0.7,0.7,0.7,0.7,0.7,0.7
1677963752967.0,0.6400116955598835,-0.06288522769763452,0.4655909575605378,1.5815713571382668,0.625906505974211,-3.124846530624835,-0.9941584500644698,2.146478143804122,-24.681524582149162,0.8417163538789459,1.162275208257326,-0.21677395675863304,0.006442528147276033,0.0020584421800443776,0.0022345262799081727,-0.00398933243116785,-0.02304264979340901,-0.005736991269576206,2000.0,2000.0,1000.0,200.0,200.0,200.0,0.7,0.7,0.7,0.7,0.7,0.7
1677963752987.0,0.6400496144182966,-0.06296314111761624,0.465676834098728,1.5818141051238719,0.6261005285659573,-3.1251026892907676,-1.0178571017933964,1.9434324168843031,-24.864169959508377,0.8225811446432987,1.1963802691905323,-0.21092650178970396,0.006442528147276033,0.0020584421800443776,0.0022345262799081727,-0.00398933243116785,-0.02304264979340901,-0.005736991269576206,2000.0,2000.0,1000.0,200.0,200.0,200.0,0.7,0.7,0.7,0.7,0.7,0.7
1677963753006.0,0.6400331044869193,-0.06307659493929066,0.46572359525447826,1.5819346456386203,0.6261649303941135,-3.125359914184132,-0.8068755581044817,1.4005990286698828,-25.300092688806462,0.7833191961481674,1.2677821039636465,-0.1897976174549298,0.006442528147276033,0.0020584421800443776,0.0022345262799081727,-0.00398933243116785,-0.02304264979340901,-0.005736991269576206,2000.0,2000.0,1000.0,200.0,200.0,200.0,0.7,0.7,0.7,0.7,0.7,0.7
1677963753026.0,0.6399734380191887,-0.06323062188878581,0.4656881002672726,1.582111818560362,0.6260076239604424,-3.1257559582957386,-0.6862926595765627,1.2651052989344138,-25.38222174446534,0.7784529151300769,1.2864979676428157,-0.18234556595822732,-0.0038612118424417286,-0.008540113313319261,-0.0028910789426299663,-0.017723817373162042,0.011588435027158811,-0.006723903235625167,2000.0,2000.0,1000.0,200.0,200.0,200.0,0.7,0.7,0.7,0.7,0.7,0.7
1677963753046.0,0.6398256891141885,-0.0633985754901818,0.46555764471276323,1.5819520347954015,0.6255780921910352,-3.1262272283362895,-0.35023613744593957,1.2016208686639678,-25.406462911348985,0.7958149095497619,1.3000169511641593,-0.17086315741149,-0.0038612118424417286,-0.008540113313319261,-0.0028910789426299663,-0.017723817373162042,0.011588435027158811,-0.006723903235625167,2000.0,2000.0,1000.0,200.0,200.0,200.0,0.7,0.7,0.7,0.7,0.7,0.7
1677963753103.0,0.6394336605908965,-0.06342415302620796,0.46526314265004354,1.5812160423141588,0.6244321967648574,-3.125854651404379,0.02649643983616602,1.4303079524569198,-25.254591092016636,0.8408789231194509,1.2784694978003803,-0.1603140675203935,-0.0038612118424417286,-0.008540113313319261,-0.0028910789426299663,-0.017723817373162042,0.011588435027158811,-0.006723903235625167,2000.0,2000.0,1000.0,200.0,200.0,200.0,0.7,0.7,0.7,0.7,0.7,0.7
