timestamp,X,Y,Z,v
1677963752004,12.1053008045462,-2.9751532439801287,1001,390
1677963752038,9.953805928996639,-2.4939124481249975,1005,386
1677963752072,8.06027664752667,-1.6874358503032052,1012,384
1677963752105,9.907757158972258,-0.4161916686010393,1022,388
1677963752139,15.35676784313135,0.19625218051735277,1028,395
1677963752172,19.773748190110663,0.5298945791908234,1030,402
1677963752206,19.24386100439378,0.8933613894342748,1025,407
1677963752239,14.145583629482582,1.424506389697116,1015,406
1677963752273,11.996372919175611,2.2938820335423165,1005,401
1677963752307,12.976181363373367,3.0648777511908416,1000,393
1677963752340,12.47823511742274,-2.639479687236644,1002,386
1677963752374,10.27050199113047,-2.0723586547310164,1008,383
1677963752407,9.8792162456925,-1.14706510195059,1017,383
1677963752441,13.662339466202756,-0.29755015823491254,1026,388
1677963752474,16.551231562824423,0.24374743494229495,1029,396
1677963752508,19.254379892224883,0.6725064838331872,1028,404
1677963752542,14.338912904088218,1.1343026419133866,1019,405
1677963752575,10.74233734811837,1.946135837176726,1009,402
1677963752609,11.340510486391821,2.874371209921861,1002,395
1677963752642,12.944935898635675,-2.7445670196265044,1001,387
1677963752676,12.175643578442324,-2.1770922513038538,1006,382
1677963752709,10.061711190769422,-1.4650523652520622,1014,382
1677963752743,11.7179203543465,-0.5381011897378748,1023,386
1677963752777,14.097105738880494,0.07060435730480552,1027,393
1677963752810,17.543209594750717,0.5383323828540755,1028,401
1677963752844,15.84223229527563,0.961836830406555,1022,405
1677963752877,11.034432166789498,1.6559071824256597,1012,403
1677963752911,11.644576368774276,2.791447233230266,1002,396
1677963752944,13.282520841698108,-2.9133403068898294,1000,389
1677963752978,13.411315238971556,-2.4053804108469814,1003,383
1677963753011,11.390925493637722,-1.8316713424235633,1010,381
1677963753045,10.041704448434327,-0.922686323583034,1019,384
1677963753079,12.227571884070827,-0.16475977414151916,1025,390
1677963753112,15.868468105659725,0.32018595409776096,1028,397
1677963753146,17.073202114236295,0.6996655150596274,1026,403
1677963753179,12.379157553255698,1.3208521127917585,1016,404
1677963753213,11.266054433548444,2.3526499385978097,1005,400
1677963753246,12.93801770206336,-3.141166804579018,1000,392
1677963753280,13.841726914922132,-2.610918036245667,1001,385
1677963753314,12.175643578442324,-2.1770922513038538,1006,382
1677963753347,11.056629295142404,-1.4745985482933375,1014,381
1677963753381,10.352520041270752,-0.5046560492138312,1022,387
1677963753414,14.202724067214387,0.14089583427242625,1027,394
1677963753448,17.543209594750717,0.5383323828540755,1028,401
1677963753481,14.789468895574867,1.0729882255334813,1020,405
1677963753515,10.74233734811837,1.946135837176726,1009,402
1677963753549,12.307851605776452,2.895826845519371,1001,395
1677963753582,13.543868693762915,-2.841359027577137,1000,388
1677963753616,13.411315238971556,-2.4053804108469814,1003,383
1677963753649,11.174844542263425,-1.7451043727606999,1011,381
1677963753683,10.041704448434327,-0.922686323583034,1019,384
1677963753716,12.103821499690616,-0.08316958352432356,1025,391
1677963753750,16.606813103447838,0.4347481315045344,1028,399
1677963753784,16.316717723412342,0.8258206035931085,1024,404
1677963753817,10.994665078374496,1.5651587017314064,1013,403
1677963753851,11.605950507514324,2.598832476557479,1003,398
1677963753884,13.974238956039882,-3.0695758993366615,999,391
1677963753918,14.373740754272228,-2.550879093228293,1001,384
1677963753951,12.062555687635522,-1.9925568735181727,1008,381
1677963753985,10.463554174884953,-1.2738168861224413,1016,382
1677963754019,10.829940852253758,-0.3788531347178747,1023,388
